Month/Year,License Class,Trips Per Day,Farebox Per Day,Unique Vehicles,Vehicles Per Day,Avg Hours Per Day Per Vehicle,Avg Minutes Per Trip
2019-10,FHV - High Volume,682635,-,82051,57764,6.4,19
2019-10,Green,12470,178014,2818,1990,4.5,14
2019-10,Yellow,231171,4006128,11380,10476,11.2,15.1
2019-09,FHV - High Volume,668520,-,82206,56795,6.4,19
2019-09,Green,12985,190621,2856,2048,4.6,14.3
2019-09,Yellow,217747,3814692,11302,10066,10.9,16
2019-08,FHV - High Volume,648961,-,82693,55289,6.3,18
2019-08,Green,12866,188318,2841,2011,4.6,13.9
2019-08,Yellow,194798,3385162,11237,9741,10.4,14.3
2019-07,FHV - High Volume,654230,-,84609,57048,6.2,18
2019-07,Green,13969,205934,2985,2125,4.7,14.2
2019-07,Yellow,202443,3501565,11366,9894,10.5,14.5
2019-06,FHV - High Volume,700036,-,85712,58847,6.3,19
2019-06,Green,15690,235578,3080,2216,5,15
2019-06,Yellow,231335,4042788,11533,10274,11,15.1
2019-05,FHV - High Volume,720263,-,86391,59902,6.2,19
2019-05,Green,16248,243583,3170,2351,4.8,15.1
2019-05,Yellow,244017,4214808,11689,10494,11.2,14.9
2019-04,FHV - High Volume,724388,-,86463,59121,6.3,19
2019-04,Green,17080,249506,3249,2423,4.9,14.3
2019-04,Yellow,247742,4215927,11786,10674,11.3,14.3
2019-03,FHV - High Volume,769729,-,86540,59893,6.4,19
2019-03,Green,19318,305302,3296,2524,5.4,15.8
2019-03,Yellow,252634,4289036,11912,10814,11.4,14.1
2019-02,FHV - High Volume,719853,-,85403,58980,6.3,18
2019-02,Green,20481,325509,3385,2651,5.4,15.7
2019-02,Yellow,250654,4105322,11895,10770,11.3,13.6
2019-01,FHV - High Volume,683692,-,84698,56530,6.2,18
2019-01,Green,20327,309210,3442,2642,5.4,15
2019-01,Yellow,247315,3413625,11867,10582,11.1,12.8
2018-12,FHV - High Volume,701180,-,85146,56844,6.3,20
2018-12,Green,22083,341294,3468,2720,5.6,15.7
2018-12,Yellow,263609,3852809,11938,10803,11.5,14.7
2018-11,FHV - High Volume,691379,-,83271,56908,6.3,20
2018-11,Green,21858,344302,3490,2742,5.5,16.4
2018-11,Yellow,271501,4035397,11948,11040,11.8,15.2
2018-10,FHV - High Volume,680433,-,82247,56538,6.3,21
2018-10,Green,22889,360292,3523,2796,5.7,16.3
2018-10,Yellow,284121,4267309,12009,11151,12,15.2
2018-09,FHV - High Volume,658952,-,80536,53842,6.4,20
2018-09,Green,22193,345939,3503,2721,5.6,15.8
2018-09,Yellow,267983,3995849,12007,10741,11.7,15
2018-08,FHV - High Volume,642341,-,78545,51804,6.4,20
2018-08,Green,21468,326276,3507,2646,5.6,15
2018-08,Yellow,253182,3742832,11961,10655,11.3,14.1
2018-07,FHV - High Volume,630977,-,78100,51565,6.3,20
2018-07,Green,22048,331003,3588,2754,5.5,14.8
2018-07,Yellow,253186,3735128,12092,10788,11.3,14.1
2018-06,FHV - High Volume,626423,-,77460,51728,6.3,20
2018-06,Green,24610,374454,3653,2858,5.8,15.5
2018-06,Yellow,290362,4283693,12222,11223,11.9,14.7
2018-05,FHV - High Volume,620950,-,76382,51355,6.3,20
2018-05,Green,25693,386965,3707,2949,5.8,15.5
2018-05,Yellow,297508,4431220,12317,11396,12.1,14.9
2018-04,FHV - High Volume,616450,-,74273,49959,6.3,20
2018-04,Green,26642,384918,3746,2976,5.9,14.5
2018-04,Yellow,310169,4486177,12372,11534,12.4,14.2
2018-03,FHV - High Volume,624601,-,72691,49102,6.4,19
2018-03,Green,26967,374253,3773,2961,5.9,13.9
2018-03,Yellow,304169,4293867,12389,11480,12.2,13.7
2018-02,FHV - High Volume,603801,-,71731,48772,6.3,19
2018-02,Green,27461,360001,3920,3058,5.9,12.9
2018-02,Yellow,303280,4138935,12490,11535,12.1,13.1
2018-01,FHV - High Volume,555031,-,71484,46403,6.2,18
2018-01,Green,25564,331105,4021,2983,5.7,12.8
2018-01,Yellow,282565,3863024,12599,11304,11.6,13.1
2017-12,FHV - High Volume,553632,-,70194,46799,6.3,20
2017-12,Green,29223,383355,4117,3200,5.9,13
2017-12,Yellow,306706,4407843,12685,11743,12.2,14.5
2017-11,FHV - High Volume,517191,-,68521,46232,6.2,20
2017-11,Green,29136,386722,4199,3320,5.8,13.2
2017-11,Yellow,309471,4517934,12692,11921,12.4,14.8
2017-10,FHV - High Volume,492028,-,67653,45234,6.1,20
2017-10,Green,29858,401160,4287,3390,5.9,13.4
2017-10,Yellow,315084,4681421,12703,11931,12.5,14.8
2017-09,FHV - High Volume,468318,-,65690,43120,6.2,20
2017-09,Green,29409,402289,4320,3337,5.8,13.3
2017-09,Yellow,298163,4422289,12656,11499,12.1,14.8
2017-08,FHV - High Volume,429691,-,64054,41372,6,20
2017-08,Green,27976,373385,4384,3347,5.6,12.6
2017-08,Yellow,271676,3985437,12690,11550,11.7,14
2017-07,FHV - High Volume,421285,-,63604,40679,6,20
2017-07,Green,29503,391767,4579,3463,5.7,12.6
2017-07,Yellow,277042,4037177,12792,11583,11.8,14.1
2017-06,FHV - High Volume,420017,-,62331,40408,5.9,21
2017-06,Green,32544,432850,4686,3629,5.7,13.2
2017-06,Yellow,321877,4751867,12894,12038,12.4,14.8
2017-05,FHV - High Volume,399546,-,59795,38015,5.9,0
2017-05,Green,34174,449352,4823,3740,5.8,13.1
2017-05,Yellow,325857,4848494,12977,12159,12.6,15
2017-04,FHV - High Volume,393918,-,57181,36750,6,0
2017-04,Green,36024,465532,4844,3803,6,12.5
2017-04,Yellow,334865,4865420,12981,12229,12.8,14.3
2017-03,FHV - High Volume,402938,-,54836,35619,6.2,0
2017-03,Green,37341,473888,4923,3789,6.1,12.4
2017-03,Yellow,332075,4770322,12990,12146,12.8,14
2017-02,FHV - High Volume,375693,-,53577,34850,6.1,0
2017-02,Green,36509,461734,5089,3895,5.9,12.1
2017-02,Yellow,327451,4531822,12967,12112,12.6,13.3
2017-01,FHV - High Volume,344972,-,52538,32782,6,0
2017-01,Green,34497,431323,5277,3918,5.7,11.8
2017-01,Yellow,313229,4314880,13058,11990,12.2,13
2016-12,FHV - High Volume,347858,-,50955,32336,6.1,0
2016-12,Green,39488,508205,5399,4166,6,12.4
2016-12,Yellow,337071,4869413,13197,12329,12.8,14.6
2016-11,FHV - High Volume,318664,-,49110,30921,5.9,0
2016-11,Green,38272,501128,5513,4258,5.8,12.8
2016-11,Yellow,336737,4980423,13159,12437,12.9,15.9
2016-10,FHV - High Volume,310749,-,47758,30097,6,0
2016-10,Green,40405,540913,5604,4331,5.9,13
2016-10,Yellow,350380,5196275,13198,12433,13.1,16
2016-09,FHV - High Volume,292548,-,46308,28684,6,0
2016-09,Green,38741,529544,5690,4272,5.8,13.4
2016-09,Yellow,337321,5167170,13166,12137,12.8,16
2016-08,FHV - High Volume,263457,-,43375,25589,5.9,0
2016-08,Green,40241,547786,5774,4329,6,12.9
2016-08,Yellow,320718,4722586,13203,12266,12.5,15.5
2016-07,FHV - High Volume,252701,-,38843,23844,6,0
